order_id,order_date,product,quantity,unit_price,amount,status
3000,2026-06-26,Monitor,3,98.72,296.16,refunded
3001,2026-02-21,Monitor,2,215.85,431.7,paid
3002,2026-02-24,Headset,1,173.77,173.77,paid
3003,2026-06-20,Keyboard,4,47.4,189.6,paid
3004,2026-03-27,Stand,2,34.5,69.0,refunded
3005,2026-03-12,Webcam,4,304.19,1216.76,pending
3006,2026-04-22,Dock,5,184.01,920.05,pending
3007,2026-03-27,Headset,3,212.44,637.32,refunded
3008,2026-06-05,Stand,4,180.92,723.68,refunded
3009,2026-03-07,Monitor,4,175.22,700.88,cancelled
3010,2026-04-09,Headset,3,87.03,261.09,pending
3011,2026-05-08,Webcam,2,188.09,376.18,paid
3012,2026-04-21,Stand,3,48.9,146.7,pending
3013,2026-01-08,Monitor,1,232.29,232.29,pending
3014,2026-02-24,Cable,4,207.39,829.56,refunded
3015,2026-03-07,Dock,3,284.49,853.47,cancelled
3016,2026-06-20,Webcam,2,289.25,578.5,refunded
3017,2026-05-02,Keyboard,4,74.06,296.24,paid
3018,2026-03-06,Headset,5,235.04,1175.2,paid
3019,2026-05-04,Webcam,2,253.67,507.34,paid
3020,2026-05-18,Keyboard,1,141.89,141.89,pending
3021,2026-05-01,Monitor,3,209.27,627.81,paid
3022,2026-03-19,Mouse,1,135.31,135.31,pending
3023,2026-01-01,Dock,5,122.41,612.05,paid
3024,2026-05-17,Stand,2,162.93,325.86,paid
3025,2026-01-13,Monitor,2,100.53,201.06,refunded
3026,2026-06-27,Webcam,2,88.59,177.18,paid
3027,2026-03-25,Webcam,4,191.46,765.84,cancelled
3028,2026-06-12,Cable,3,141.5,424.5,paid
3029,2026-01-03,Keyboard,3,132.06,396.18,cancelled
3030,2026-03-07,Stand,1,211.84,211.84,pending
3031,2026-01-10,Cable,5,129.58,647.9,paid
3032,2026-01-12,Monitor,2,277.43,554.86,paid
3033,2026-04-10,Keyboard,3,102.65,307.95,paid
3034,2026-04-15,Cable,2,39.09,78.18,paid
3035,2026-02-26,Keyboard,3,174.94,524.82,paid
3036,2026-05-24,Monitor,2,286.58,573.16,paid
3037,2026-06-05,Mouse,2,292.65,585.3,pending
3038,2026-03-26,Webcam,3,29.95,89.85,paid
3039,2026-02-17,Stand,2,215.98,431.96,paid
3040,2026-01-27,Keyboard,5,130.64,653.2,paid
3041,2026-05-25,Dock,5,50.79,253.95,cancelled
3042,2026-05-10,Headset,4,101.45,405.8,paid
3043,2026-01-06,Keyboard,3,24.25,72.75,paid
3044,2026-01-11,Cable,5,231.43,1157.15,paid
3045,2026-06-23,Headset,5,313.51,1567.55,paid
3046,2026-04-13,Stand,1,37.54,37.54,pending
3047,2026-02-15,Headset,3,55.07,165.21,paid
